ağaç,tree,дерево
anne,mother,мать
araba,car,машина
askı,hanger,вешалка
ayakkabı,shoe,ботинок
baba,father,отец
bardak,glass (cup),стакан
başlangiç,beginning,начало
bavul,suitcase,чемодан
bayrak,flag,флаг
bebek,baby,малыш
bilgisayar,computer,компьютер
cam,glass (window),стекло
cami,mosque,мечеть
çanta,bag,сумка
çikolata,chocolate,шоколад
civciv,chick,цыпленок
çocuk,child,ребенок
çorap,sock,носок
çorba,soup,суп
cüzdan,purse/wallet,кошелек
dağ,mountain,гора
doktor,doctor,доктор
dolap,cabinet,шкаф
domates,tomato,помидор
dondurma,ice cream,мороженое
ekmek,bread,хлеб
eldiven,glove,перчатка
elma,apple,яблоко
eşek,donkey,осел
fare,mouse,мышь
fil,elephant,слон
fıncan,cup,чашка
fındık,hazelnut,фундук
gemi,boat,лодка
göz,eye,глаз
gözlük,eye-glasses,очки
güneş,sun,солнце
halı,carpet,ковер
harf,letter,буква
hastane,hospital,больница
havuç,carrot,морковь
hekim,physician,доктор (врач)
hemşire,nurse,медсестра
horoz,rooster,петух
iğne,needle,игла
ince,thin,тонкий
inci,pearl,жемчужина
inek,cow,корова
insan,human,человек
ip,rope,веревка
ıhlamur,linden,липа
ırmak,river,река
ışık,light,свет
ıspanak,spinach,шпинат
jaguar,jaguar,ягуар
jandarma,gendarme,жандармерия
jet ,jet (airplane),реактивный самолет
jeton,token,жетон
kalem,pen,ручка
kalın,thick,толстый
kanguru,kangaroo,кенгуру
kedi,cat,кошка
kitap,book,книга
köpek,dog,собака
lamba,lamp,лампа
leylek,stork,аист
limon,lemon,лимон
lokanta,restaurant,ресторан
lokum,turkish delight,лукум
makas,scissors,ножницы
market,shop,магазин
maymun,monkey,обезьяна
merdiven,ladder / stairs,лестница
nane,mint,мята
nar,pomegranate,гранат
nine,grandma,бабушка
öğrenci,student,ученик
öğretmen,teacher,учитель
okul,school,школа
ördek,duck,утка
orman,forest,лес
otobüs,bus,автобус
pamuk,cotton,хлопок
para,money,деньги
pencere,window,окно
polis,police,полиция
radio,radio,радио
raf,shelf,полка
raket,racquet; bat,ракетка (бита)
resim,picture,картина
saat,hour, 
salıncak,swing,качели
salyangoz,snail,улитка
şeker,sugar,сахар
şemsiye,umbrella,зонтик
sesli,audible (vowel),звучащий (гласный)
sessiz,quiet (consonant),не звучащий (согласный)
silgi,eraser,стирательная резинка
şışe,bottle,бутылка
taksi,taxi,такси
terlik,slipper,тапок
tilki,fox,лиса
top,ball,мяч
uçak,airplane,самолет
uçurtma,kite,воздушный змей
ünlü,vowel,гласный
ünsüz,consonant,согласный
ütü,iron,утюг
üzüm,grape,виноград
valiz,suitcase,чемодан
vazo,vase,ваза
vida,screw,винт
yilan,snake,змея
yuğurt,yogurt,йогурт
yumurta,egg,яйцо
yumuşak,soft,мягкий
zebra,zebra,зебра
zeytin,olive,оливка
zürafa,giraffe,жираф
